filename,width,height,class,xmin,ymin,xmax,ymax
HF_P090903050.jpg,640,480,text,264,5,468,86
HF_P090903050.jpg,640,480,text,123,71,606,190
HF_DSC03376.JPG,640,480,text,244,380,460,452
HF_17_01.jpg,1024,768,text,423,470,574,550
HF_17_01.jpg,1024,768,text,430,543,574,587
HF_15_10.jpg,1280,1024,text,881,374,963,419
HF_15_10.jpg,1280,1024,text,420,346,649,400
HF_15_10.jpg,1280,1024,text,680,361,838,411
HF_P090911060.jpg,640,480,text,165,10,610,90
HF_P090903008.jpg,640,480,text,398,22,623,96
HF_P090903008.jpg,640,480,text,24,31,381,99
HF_07_17.jpg,1280,1024,text,528,237,706,270
HF_07_17.jpg,1280,1024,text,858,242,1013,314
HF_07_17.jpg,1280,1024,text,713,236,849,319
HF_15_09.jpg,1280,1024,text,660,311,908,386
HF_15_09.jpg,1280,1024,text,952,355,1035,408
HF_15_09.jpg,1280,1024,text,933,397,1053,436
HF_15_09.jpg,1280,1024,text,727,393,841,465
HF_DSC03203.JPG,640,480,text,99,308,588,472
HF_DSC03203.JPG,640,480,text,99,308,588,364
HF_DSC03203.JPG,640,480,text,347,421,547,472
HF_080116-0066.jpg,800,600,text,418,210,614,342
HF_080116-0066.jpg,800,600,text,187,342,523,400
HF_09_18.jpg,1280,800,text,588,388,902,435
HF_09_18.jpg,1280,800,text,386,386,579,438
HF_DSC03398.JPG,640,480,text,53,304,519,428
HF_18_13.jpg,1280,800,text,526,356,593,388
HF_18_13.jpg,1280,800,text,507,319,613,360
HF_18_13.jpg,1280,800,text,642,354,714,382
HF_18_13.jpg,1280,800,text,656,339,699,364
HF_07_09.jpg,1280,1024,text,857,278,1013,311
HF_07_09.jpg,1280,1024,text,724,283,857,311
HF_17_03.jpg,1024,768,text,524,417,659,464
HF_17_03.jpg,1024,768,text,345,424,463,466
HF_14_12.jpg,1278,878,text,441,399,504,454
HF_14_12.jpg,1278,878,text,1000,353,1117,426
HF_14_12.jpg,1278,878,text,756,347,926,431
