filename,width,height,class,xmin,ymin,xmax,ymax
Sh_0p5_P090831037.jpg,880,480,text,85,50,696,191
Sh_0p5_P090831037.jpg,880,480,text,102,186,788,334
Tr_0p2_041.JPG,640,480,text,185,302,405,392
Tr_0p2_041.JPG,640,480,text,461,343,640,385
Tr_0p2_041.JPG,640,480,text,289,412,386,436
Tr_0p2_01_07.jpg,1280,800,text,681,498,1125,581
Ro_270_n_HSV_DSC02984.JPG,640,480,text,365,15,512,473
Tr_0p2_11_05.jpg,1280,800,text,726,427,931,556
Tr_0p2_11_05.jpg,1280,800,text,501,440,652,554
Tr_0p2_11_05.jpg,1280,800,text,945,403,1259,567
Ro_270_n_HSV_DSC03147.JPG,640,480,text,185,85,333,396
Ro_270_n_HSV_DSC03147.JPG,640,480,text,258,96,333,395
Ro_270_n_HSV_080116-0055.jpg,800,600,text,296,38,433,564
Sc_0p2_DSC03003.JPG,640,480,text,130,176,633,358
Tr_0p2_080116-0064.jpg,800,600,text,471,345,701,457
Sc_0p2_05_16.jpg,1280,878,text,1014,535,1270,602
HF_09_09.jpg,1280,800,text,641,405,684,426
HF_09_09.jpg,1280,800,text,543,368,693,413
HF_09_09.jpg,1280,800,text,550,410,601,427
17_01.jpg,1024,768,text,450,470,601,550
17_01.jpg,1024,768,text,450,543,594,587
Tr_0p2_t.jpg,320,240,text,118,113,253,155
Tr_0p2_t.jpg,320,240,text,262,106,320,148
Sc_0p2_19_03.jpg,1280,1024,text,423,530,639,649
Sc_0p2_19_03.jpg,1280,1024,text,1263,685,1281,726
Sc_0p2_19_03.jpg,1280,1024,text,660,693,703,730
Sc_0p2_19_03.jpg,1280,1024,text,235,704,273,734
Sc_0p2_19_03.jpg,1280,1024,text,684,519,1130,633
Sc_0p2_19_03.jpg,1280,1024,text,457,760,511,790
Sc_0p2_19_03.jpg,1280,1024,text,831,757,903,801
Sc_0p2_P1010024.JPG,640,480,text,174,235,590,464
P090903008.jpg,640,480,text,17,22,242,96
P090903008.jpg,640,480,text,259,31,616,99
Sh_0p5_15_15.jpg,1408,768,text,732,501,1170,562
Sh_0p5_15_15.jpg,1408,768,text,354,354,1134,452
Ro_180_n_HSV_11_10.jpg,1280,800,text,543,406,735,455
